"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"186","Balatonszabadi","Molnár Árpád","Független","Molnár Árpád","Független","község","Somogy","Siófoki","4134",2983,"1141",0,NA,NA
"187","Balatonszárszó","Dorogi Sándor János","Független","Méhész László","Független","nagyközség","Somogy","Balatonföldvári","3013",1895,"941",0,"HH",2
"188","Balatonszemes","Takács József","Független","Takács József","Független","község","Somogy","Balatonföldvári","3602",1793,"789",0,"HH",2
"189","Balatonszentgyörgy","Nagy Lajos","Független","Nagy Lajos","MAGYAR SZOCIALISTA PÁRT","község","Somogy","Marcali","2368",1566,"697",1,"HH",1
"190","Balatonszepezd",NA,NA,"Márton József","Független","község","Veszprém","Balatonfüredi","2506",406,"217",0,NA,NA
"191","Balatonszőlős","Mórocz László","Független","Nagy András","Független","község","Veszprém","Balatonfüredi","1281",637,"176",0,NA,NA
"192","Balatonudvari","Szabó László","Független","Teklovics László","Független","község","Veszprém","Balatonfüredi","1880",300,"152",0,NA,NA
"193","Balatonújlak","Tüske Gáborné","Fidesz - Magyar Polgári Szövetség","Tüske Gáborné","Független","község","Somogy","Marcali","1081",520,"261",0,"HH",1
"194","Balatonvilágos","Fekete Barnabás József","Független","Fekete Barnabás József","Független","község","Veszprém","Balatonalmádi","2921",1173,"605",0,NA,NA
"195","Balinka",NA,NA,"Wéninger László Pál","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Fejér","Móri","1862",948,"382",0,NA,NA
"196","Balkány","Pálosi László","Fidesz - Magyar Polgári Szövetség","Marjánné Rinyu Ilona","MAGYAR SZOCIALISTA PÁRT","város","Szabolcs-Szatmár-Bereg","Nagykállói","8999",6298,"2496",1,"HH",1
"197","Ballószög",NA,NA,"Katona Imre","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Bács-Kiskun","Kecskeméti","3500",3399,"1083",0,NA,NA
"198","Balmazújváros",NA,NA,"Tiba István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Hajdú-Bihar","Balmazújvárosi","20545",17383,"6705",1,"LHH",1
"199","Balogunyom","Németh Ottó László","Független","Németh Ottó","Független","község","Vas","Szombathelyi","1212",1212,"430",0,NA,NA
"200","Balotaszállás","Huszta István","Független","Huszta István","Független","község","Bács-Kiskun","Kiskunhalasi","10494",1493,"821",1,"HH",1
"201","Balsa","Somogyi Szilvia","Független","Farkas Csabáné","Független","község","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","2251",841,"431",0,"LHH",1
"202","Bálványos","Sebestyén Gyula","Független","Sebestyén Gyula","Független","község","Somogy","Balatonföldvári","2369",516,"267",0,"HH",2
"203","Bana","Sáhóné Horváth Márta","Független","Petőcz Imre","Független","község","Komárom-Esztergom","Komáromi","2513",1606,"563",1,NA,NA
"204","Bánd","Schindler László","Független","Schindler László","Független","község","Veszprém","Veszprémi","984",668,"238",0,NA,NA
"205","Bánfa","Bódi László István","Független","Szabó Miklósné","Független","község","Baranya","Szigetvári","1206",189,"80",0,"LHHK",1
"206","Bánhorváti","Demeter Zoltán","Fidesz - Magyar Polgári Szövetség","Demeter Zoltán","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","2848",1359,"594",0,"HH",1
"207","Bánk","Ivanics András","Független","Ivanics András","Független","község","Nógrád","Rétsági","990",671,"269",0,"HH",2
"208","Bánokszentgyörgy","Horváth Ferencné","Független","Horváth Ferencné Bogár Ágnes","Független","község","Zala","Letenyei","3254",651,"298",0,"HH",1
"209","Bánréve","Hajdu Gábor József","Független","Hajdu Gábor József","Független","község","Borsod-Abaúj-Zemplén","Ózdi","662",1302,"556",1,"LHHK",1
"210","Bár","Weitzl Magdolna","Független","Reményiné Dr. Németh Csilla","Független","község","Baranya","Mohácsi","900",537,"218",0,"HH",1
"211","Barabás","Daróczi Gábor","Független","Daróczy Pál","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","3819",745,"382",0,"LHHK",1
"212","Baracs","Várai Róbert","Független","Makó József","MAGYAR SZOCIALISTA PÁRT","község","Fejér","Dunaújvárosi","5518",3527,"1306",0,NA,NA
"213","Baracska","Boriszov Zoltán","Független","Boriszov Zoltán","Független","község","Fejér","Ercsi","3968",2741,"983",1,NA,NA
"214","Báránd","Kiss Sándor","Fidesz - Magyar Polgári Szövetség","Kiss Sándor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Hajdú-Bihar","Püspökladányi","4257",2543,"1190",1,"LHH",1
"215","Baranyahídvég","Nagy Csaba","Független","Bazsó József","Független","község","Baranya","Sellyei","849",198,"87",1,"LHHK",1
"216","Baranyajenő","Bakurecz József","Független","Bakurecz József","Független","község","Baranya","Sásdi","1555",493,"169",1,"LHHK",1
"217","Baranyaszentgyörgy","Virág Anett Mária","Fidesz - Magyar Polgári Szövetség","Virág Anett Mária","Független","község","Baranya","Sásdi","727",118,"76",1,"LHHK",1
"218","Barbacs","Giczi András","Független","Giczi András","Független","község","Győr-Moson-Sopron","Csornai","1365",724,"312",0,"HH",2
"219","Barcs","Karvalics Ottó","Fidesz - Magyar Polgári Szövetség","Feigli Ferenc","Független","város","Somogy","Barcsi","12290",11532,"4526",1,"LHHK",1
"220","Bárdudvarnok","Mester Balázs","Fidesz - Magyar Polgári Szövetség","Forintos László","Független","község","Somogy","Kadarkúti","4856",1218,"548",1,"LHHK",1
"221","Barlahida","Hári Barnabás","Független","Bölecz Sándor","Független","község","Zala","Lenti","610",131,"86",0,NA,NA
"222","Bárna","Tóth Károlyné","Független","Tóth Károlyné","Független","község","Nógrád","Salgótarjáni","1539",1079,"456",1,"LHH",1
"223","Barnag","Kulcsár Miklós Sándor","Független","Kulcsár Miklós Sándor","MAGYAR DEMOKRATA FÓRUM","község","Veszprém","Veszprémi","1201",112,"83",0,NA,NA
"224","Bársonyos",NA,NA,"Lamanda Károlyné","Független","község","Komárom-Esztergom","Kisbéri","1687",740,"304",0,"HH",1
"225","Basal","Detrik László","Független","Detrik László","Független","község","Baranya","Szigetvári","404",199,"71",0,"LHHK",1
"226","Baskó","Hegedűs Szilárd","Független","Hegedűs Szilárd","Független","község","Borsod-Abaúj-Zemplén","Abaúj-Hegyközi","2963",182,"117",0,"LHHK",1
"227","Báta","Huszárné Lukács Rozália Anna","Fidesz - Magyar Polgári Szövetség","Sziebert György","Független","község","Tolna","Szekszárdi","6616",1709,"823",1,"HH",4
"228","Bátaapáti","Darabos Józsefné","Független","Krachun Szilárd","Független","község","Tolna","Bonyhádi","2044",401,"140",0,NA,NA
"229","Bátaszék","Bognár Jenő","Fidesz - Magyar Polgári Szövetség","Bognár Jenő","Független","város","Tolna","Szekszárdi","6355",6466,"2569",1,NA,NA
"230","Baté","Zsalakó Ernő","Független","Zsalakó Ernő","Független","község","Somogy","Kaposvári","1028",834,"301",1,"HH",1
"231","Bátmonostor","Béleczki Mihály","Független","Korsós János","Független","község","Bács-Kiskun","Bajai","3795",1495,"702",0,"HH",2
"232","Bátonyterenye","Nagy-Majdon József","Fidesz - Magyar Polgári Szövetség","Vanya Gábor","MAGYAR SZOCIALISTA PÁRT","város","Nógrád","Bátonyterenyei","7892",12826,"5841",1,"LHHK",1
"233","Bátor","Derecskei Péter","Fidesz - Magyar Polgári Szövetség","Sánta István László","Független","község","Heves","Bélapátfalvai","2732",407,"196",0,"HH",1
"234","Bátorliget","Antal Mihály","Fidesz - Magyar Polgári Szövetség","Antal Mihály","Független","község","Szabolcs-Szatmár-Bereg","Nyírbátori","3330",668,"354",0,"LHHK",1
"235","Battonya","Karsai József","Független","Karsai József","MAGYAR SZOCIALISTA PÁRT","város","Békés","Mezőkovácsházai","14571",5609,"3099",1,"LHHK",1
"236","Bátya","Zsebics Ilona","Fidesz - Magyar Polgári Szövetség","Zsebics Ilona","Független","község","Bács-Kiskun","Kalocsai","3386",2051,"972",0,"HH",1
"237","Batyk","Adorján Péter Géza","Független","Adorján Péter Géza","Független","község","Zala","Zalaszentgróti","809",387,"191",0,"HH",1
"238","Bázakerettye","Iványi László Ottó","Független","Iványi László Ottó","Független","község","Zala","Letenyei","803",820,"392",0,"HH",1
"239","Bazsi","Szentes László","Független","Szentes László","Független","község","Veszprém","Sümegi","910",385,"205",0,"HH",1
"240","Béb","Hauber János","Fidesz - Magyar Polgári Szövetség","Hauber János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Veszprém","Pápai","704",264,"108",0,NA,NA
"241","Becsehely","Németh Géza","Független","Németh Géza","Független","község","Zala","Letenyei","3608",2082,"760",1,"HH",1
"242","Becske","Szalatnyainé Zsigmond Éva","Fidesz - Magyar Polgári Szövetség","Szalatnyainé Zsigmond Éva","Független","község","Nógrád","Balassagyarmati","1566",534,"286",1,"HH",2
"243","Becskeháza","Székely Jenő","Független","Székely Jenő","Független","község","Borsod-Abaúj-Zemplén","Edelényi","500",40,"40",0,"LHHK",1
"244","Becsvölgye","Magai Ágota Éva","Független","Magai Ágota Éva","Független","község","Zala","Zalaegerszegi","2140",803,"355",0,NA,NA
"245","Bedegkér","Steinbacher Jenő","Független","Steinbacher Jenő","Független","község","Somogy","Tabi","2600",470,"248",1,"LHH",1
"246","Bedő","Eszenyi Antal","Független","Eszenyi Antal","Független","község","Hajdú-Bihar","Berettyóújfalui","1020",246,"142",1,"LHHK",1
"247","Bejcgyertyános",NA,NA,"Németh Imre","Független","község","Vas","Sárvári","3143",457,"270",0,NA,NA
"248","Békás","Horváth János","Független","Horváth János","Független","község","Veszprém","Pápai","652",215,"97",0,NA,NA
"249","Bekecs","Béki József","Független","Béki József","Független","község","Borsod-Abaúj-Zemplén","Szerencsi","2572",2410,"933",0,"LHHK",1
"250","Békés","Izsó Gábor","Független","Izsó Gábor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Békés","Békési","12723",19981,"8274",1,"LHH",1
"251","Békéscsaba","Vantara Gyula","Fidesz - Magyar Polgári Szövetség","Vantara Gyula","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","megyeszékhely, megyei jogú város","Békés","Békéscsabai","19393",64074,"29441",1,NA,NA
"252","Békéssámson","Barna Jánosné","Független","Barna Jánosné","Független","község","Békés","Orosházai","7121",2341,"1136",0,"HH",1
"253","Békésszentandrás","Sinka Imre","Független","Hamza Zoltán Gábor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","nagyközség","Békés","Szarvasi","7745",3790,"1930",0,"HH",1
"254","Bekölce",NA,NA,"Liktor István","Független","község","Heves","Bélapátfalvai","1377",647,"368",0,"HH",1
"255","Bélapátfalva","Ferencz Péter","Független","Ferencz Péter","Független","város","Heves","Bélapátfalvai","3663",3027,"1151",1,"HH",1
"256","Bélavár","Ujfalvi Jánosné","Független","Ujfalvi Jánosné","Független","község","Somogy","Barcsi","2278",341,"221",1,"LHHK",1
"257","Belecska","Jakab Róbert","Független","Jakab Róbert","Független","község","Tolna","Tamási","1439",427,"142",0,"LHHK",1
"258","Beled","Tompáné Balogh Mária Erzsébet","Kereszténydemokrata Néppárt","Tompáné Balogh Mária","Független","város","Győr-Moson-Sopron","Kapuvár-Beledi","2647",2592,"1106",0,NA,NA
"259","Beleg","Tamás Csaba","Független","Tamás Csaba","Független","község","Somogy","Nagyatádi","1799",594,"233",1,"HH",1
"260","Belezna",NA,NA,"Jancsecz Lajos","Független","község","Zala","Nagykanizsai","3093",797,"283",0,NA,NA
"261","Bélmegyer","Dán Márton","Független","Dán Márton","Független","község","Békés","Békési","6305",997,"575",0,"LHH",1
"262","Beloiannisz","Papalexisz Kosztasz","Független","Rizojanisz Kosztasz","Független","község","Fejér","Adonyi","454",1126,"436",0,NA,NA
"263","Belsősárd","Vida József","Független","Vida József","Független","község","Zala","Lenti","979",100,"44",0,NA,NA
"264","Belvárdgyula",NA,NA,"Sándor Ágnes","Független","község","Baranya","Mohácsi","1723",416,"183",1,"HH",1
"265","Benk","Mészáros Lajos","Független","Orosz József","Független","község","Szabolcs-Szatmár-Bereg","Záhonyi","850",448,"189",0,"HH",1
"266","Bénye","Racskó Károly","Független","Racskó Károly","Független","község","Pest","Monori","1652",1249,"505",0,NA,NA
"267","Bér","Matics János József","Független","Matics János József","Független","község","Nógrád","Pásztói","2549",373,"212",1,"HH",1
"268","Bérbaltavár","Mészáros László","Fidesz - Magyar Polgári Szövetség","Varga Viktória","Független","község","Vas","Vasvári","2567",478,"308",0,NA,NA
"269","Bercel","Jánvári Andrásné","Független","Jánvári Andrásné","Független","község","Nógrád","Balassagyarmati","3588",2073,"741",0,"HH",2
"270","Beregdaróc","Révész Ferenc Miklósné","Független","Révész Ferencné","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","2382",731,"364",0,"LHHK",1
"271","Beregsurány","Herka István","Fidesz - Magyar Polgári Szövetség","Oláh Dezsőné","Független","község","Szabolcs-Szatmár-Bereg","Vásárosnaményi","1600",650,"237",0,"LHHK",1
"272","Berekböszörmény","Nagy Ernő","Független","Vajda Imre","Független","község","Hajdú-Bihar","Berettyóújfalui","4284",1692,"787",1,"LHHK",1
"273","Berekfürdő",NA,NA,NA,NA,"község","Jász-Nagykun-Szolnok","Karcagi","1857",973,"483",0,"HH",1
"274","Beremend","Orsokics István","Független","Orsokics István","Független","nagyközség","Baranya","Siklósi","4826",2573,"1028",1,"HH",1
"275","Berente","Juhász József","Független","Juhász József","Független","község","Borsod-Abaúj-Zemplén","Kazincbarcikai","922",1119,"434",1,"HH",1
"276","Beret","Gulyás Károly","Független","Gulyás Károly","Független","község","Borsod-Abaúj-Zemplén","Encsi","682",274,"95",1,"LHHK",1
"277","Berettyóújfalu","Muraközi István","Fidesz - Magyar Polgári Szövetség","Szeifert Ferenc","MAGYAR DEMOKRATA FÓRUM","város","Hajdú-Bihar","Berettyóújfalui","17098",15317,"6334",1,"LHHK",1
"278","Berhida","Pergő Margit Cecília","Független","Lajosfalvi József","Független","város","Veszprém","Várpalotai","4273",5955,"2043",1,NA,NA
"279","Berkenye","Schmidt Józsefné","Független","Schmidt Józsefné","Független","község","Nógrád","Rétsági","1346",623,"260",0,"HH",2
"280","Berkesd","Kapitány Zoltánné","Független","Kapitány Zoltánné","Független","község","Baranya","Pécsváradi","1904",853,"290",1,"HH",1
"281","Berkesz","Szidor Attila","Fidesz - Magyar Polgári Szövetség","Nagy Gyula","Független","község","Szabolcs-Szatmár-Bereg","Baktalórántházai","1318",876,"345",1,"LHHK",1
"282","Bernecebaráti","Gyenes Zoltán","Független","Gyenes Zoltán","Független","község","Pest","Szobi","3769",846,"456",0,NA,NA
"283","Berzék","Farkas László","Független","Farkas László","Független","község","Borsod-Abaúj-Zemplén","Miskolci","1059",1098,"348",0,NA,NA
"284","Berzence","Kovács Zoltán","Független","Kovács Zoltán","Független","nagyközség","Somogy","Csurgói","5376",2508,"996",1,"LHHK",1
"285","Besence","Ignácz József","Független","Ignácz József","Független","község","Baranya","Sellyei","958",123,"48",1,"LHHK",1
"286","Besenyőd","Laskai Tiborné","Független","Kálmándi István","Független","község","Szabolcs-Szatmár-Bereg","Baktalórántházai","945",651,"257",1,"LHHK",1
"287","Besenyőtelek","Bozsik Csaba","Független","Bozsik Csaba","Független","község","Heves","Füzesabonyi","4910",2611,"1107",1,"HH",1
"288","Besenyszög",NA,NA,NA,NA,"község","Jász-Nagykun-Szolnok","Szolnoki","13808",3411,"1431",0,NA,NA
"289","Besnyő","Gémesiné Fejes Zsuzsanna","Független","Andrásiné Magyar Éva","Független","község","Fejér","Adonyi","4464",1801,"664",0,NA,NA
"290","Beszterec","Poór József","Független","Poór József","Független","község","Szabolcs-Szatmár-Bereg","Ibrány-Nagyhalászi","1159",1026,"383",1,"LHH",1
"291","Bezedek","Hoffmann Antal","Független","Hoffmann Antal","Független","község","Baranya","Mohácsi","1136",237,"108",0,"HH",1
"292","Bezenye","Kammerhofer Róbert","Független","Kammerhofer Róbert","Független","község","Győr-Moson-Sopron","Mosonmagyaróvári","3003",1426,"555",0,NA,NA
"293","Bezeréd","Szabó Anikó Zsuzsanna","Fidesz - Magyar Polgári Szövetség","Szabó Anikó Zsuzsanna","Független","község","Zala","Pacsai","1214",157,"156",0,"HH",1
"294","Bezi","Bősze Kornél","Független","Bősze Kolozs Sándor","Független","község","Győr-Moson-Sopron","Csornai","1122",500,"201",0,"HH",2
"295","Biatorbágy","Tarjáni István","Fidesz - Magyar Polgári Szövetség","Palovics Lajos","Szövetség Biatorbágyért Egyesület","város","Pest","Budaörsi","4412",12567,"4429",0,NA,NA
"296","Bicsérd","Vér József","Független","Vér József","Független","község","Baranya","Szentlőrinci","1975",1023,"352",0,"HH",1
